Formatter, loc, ns
scalafmt, 30, 5171530
scalafmt, 60, 71428928
scalariform, 30, 2982730
scalafmt, 15, 1735473
scalariform, 15, 1550943
scalariform, 57, 10605427
scalariform, 141, 19438834
scalariform, 104, 20801027
scalafmt, 65, 35866713
scalariform, 60, 12513857
scalafmt, 7, 7749155
scalafmt, 59, 18613645
scalariform, 7, 1581927
scalariform, 59, 5220788
scalariform, 65, 7354479
scalafmt, 18, 5572599
scalariform, 18, 1858617
scalafmt, 9, 5133057
scalariform, 9, 1679718
scalafmt, 5, 715519
scalariform, 5, 695767
scalafmt, 4, 711737
scalariform, 4, 1720503
scalafmt, 3, 399548
scalariform, 3, 515392
scalafmt, 3, 630394
scalariform, 3, 659080
scalafmt, 2, 611750
scalariform, 2, 804390
scalafmt, 22, 1474362
scalariform, 22, 2401197
scalafmt, 12, 937856
scalariform, 12, 1334158
scalafmt, 39, 40303109
scalafmt, 11, 9010220
scalafmt, 55, 47889147
scalariform, 11, 2091051
scalariform, 39, 4871055
scalafmt, 31, 38037883
scalariform, 31, 3938167
scalafmt, 18, 7875636
scalariform, 55, 9351141
scalariform, 18, 1585097
scalafmt, 98, 53969240
scalafmt, 31, 12505329
scalafmt, 18, 10406661
scalariform, 18, 1899349
scalafmt, 4, 631121
scalariform, 31, 3289699
scalariform, 4, 829736
scalafmt, 28, 26692836
scalafmt, 12, 8462546
scalariform, 12, 704832
scalafmt, 12, 1565532
scalafmt, 68, 70161708
scalariform, 12, 3955945
scalariform, 28, 8880357
scalafmt, 3, 1231916
scalariform, 3, 479015
scalafmt, 6, 528831
scalariform, 6, 829177
scalafmt, 15, 8656054
scalariform, 15, 2479157
scalafmt, 11, 1722777
scalariform, 11, 527481
scalafmt, 43, 33987439
scalariform, 68, 24932395
scalariform, 43, 5052328
scalariform, 98, 56973746
scalafmt, 9, 13043157
scalafmt, 75, 111567634
scalafmt, 17, 4411993
scalariform, 9, 3135104
scalafmt, 2, 561351
scalariform, 17, 1447201
scalariform, 2, 1189875
scalafmt, 3, 733431
scalariform, 3, 1323913
scalafmt, 3, 751919
scalariform, 3, 1240458
scalafmt, 49, 41243541
scalariform, 75, 17528583
scalafmt, 18, 10266761
scalariform, 18, 1248246
scalafmt, 6, 740495
scalariform, 6, 1149121
scalariform, 49, 27795325
scalafmt, 15, 22187664
scalariform, 15, 3973732
scalafmt, 8, 8289167
scalafmt, 97, 55424826
scalariform, 8, 2727932
scalafmt, 133, 70373220
scalafmt, 29, 29226751
scalafmt, 12, 11467964
scalariform, 12, 2520779
scalariform, 29, 7145468
scalariform, 97, 17485964
scalariform, 133, 27070567
scalafmt, 24, 14576822
scalafmt, 105, 151614175
scalafmt, 37, 19984534
scalariform, 24, 4448831
scalafmt, 52, 83356856
scalariform, 37, 8186676
scalafmt, 3, 1683407
scalariform, 3, 569077
scalafmt, 15, 1510702
scalariform, 15, 1535736
scalariform, 105, 19038985
scalafmt, 24, 5940703
scalariform, 52, 13630249
scalariform, 24, 8831186
scalafmt, 7, 2556417
scalariform, 7, 967313
scalafmt, 40, 33125245
scalafmt, 10, 3160082
scalariform, 10, 875476
scalafmt, 10, 1041051
scalariform, 10, 1133225
scalariform, 40, 6758162
scalafmt, 45, 22076072
scalafmt, 9, 5412871
scalariform, 9, 1810908
scalafmt, 40, 28790207
scalariform, 45, 5809315
scalariform, 40, 5003319
scalafmt, 21, 14322149
scalariform, 21, 2596523
scalafmt, 145, 80569868
scalafmt, 9, 1469316
scalariform, 9, 1876251
scalafmt, 99, 72936430
scalafmt, 40, 30972273
scalafmt, 11, 5381571
scalariform, 11, 2174415
scalafmt, 40, 23314786
scalariform, 40, 5087633
scalariform, 40, 4359549
scalariform, 145, 17301364
scalafmt, 15, 7536486
scalafmt, 49, 33438192
scalariform, 15, 1796926
scalariform, 99, 20134311
scalafmt, 12, 4792491
scalariform, 12, 2869511
scalariform, 49, 15014672
scalafmt, 18, 6294921
scalafmt, 26, 28166055
scalariform, 18, 7723561
scalariform, 26, 6696835
scalafmt, 6, 10507144
scalariform, 6, 1593022
scalafmt, 5, 2271483
scalariform, 5, 817821
scalafmt, 58, 50487030
scalafmt, 54, 11619299
scalafmt, 804, 513595046
scalariform, 58, 6880612
scalariform, 54, 4480579
scalafmt, 29, 27436222
scalafmt, 10, 3991734
scalariform, 10, 2879968
scalafmt, 49, 59367233
scalafmt, 8, 4206693
scalariform, 8, 1006299
scalariform, 29, 20788785
scalariform, 49, 17327242
scalafmt, 8, 1440960
scalariform, 8, 520160
scalafmt, 40, 34211384
scalariform, 40, 3151356
scalafmt, 22, 28981135
scalafmt, 37, 17126438
scalariform, 37, 4012844
scalariform, 22, 17348421
scalafmt, 4, 1188618
scalariform, 4, 417889
scalafmt, 31, 40797214
scalafmt, 10, 5950092
scalafmt, 35, 36851618
scalariform, 10, 1136411
scalariform, 31, 4428966
scalariform, 35, 6052492
scalafmt, 10, 6066038
scalariform, 10, 1389849
scalafmt, 6, 1067001
scalariform, 6, 1198158
scalafmt, 138, 117008671
scalafmt, 183, 140488666
scalafmt, 20, 17491523
scalariform, 20, 3918447
scalafmt, 28, 15810966
scalafmt, 18, 10629851
scalariform, 28, 9947173
scalariform, 804, 106673949
scalafmt, 5, 3014323
scalariform, 5, 1111367
scalariform, 138, 33586404
scalariform, 18, 14110704
scalafmt, 12, 8136690
scalafmt, 17, 7331959
